time,tweet
7/16/2019 19:06,Uptown Road!!! #MegaMashUp 😂 https://t.co/FGmr4W8vfA
7/16/2019 18:56,Congrats @LilNasX ! That’s awesome. 🥂 https://t.co/6DhD0PAfnH
7/13/2019 5:42,HAPPY BIRTHDAY @kameronwhalum!!! #Hooligans 🥂
7/8/2019 15:59,Y’all wanna see 6 girls whoopin ass? Go check out the official video to BLOW. When you’re done let these rockstars… https://t.co/1tl8PfOiGu
7/6/2019 19:11,Play BLOW in the gym and watch what happens. https://t.co/pgGX2whc3y
7/5/2019 18:36,Check out Ed Sheeran’s new song “BLOW” with Chris Stapleton and me. Available everywhere. https://t.co/6DdzTnc9D1
7/4/2019 19:19,"It was a privilege to work with Ed ""The Song Writing Machine"" Sheeran and Chris ""Sing Ya Face Off"" Stapleton for Ed… https://t.co/iHMbnTYlAA"
7/3/2019 19:53,Here you go twitter. Enjoy ya self! 🧯 https://t.co/jVWrekzqpj
7/3/2019 19:33,EL CAPITAN FUEGO!!! 🔥 Eat your heart out @edsheeran ! This shit ain’t a game! I Do this! I ain’t new 2 this! I’m tr… https://t.co/UORDBoqCoa
6/27/2019 2:52,"Big words, Big words, Big words"
6/24/2019 21:33,So much love for @BET and the @BETAwards. Thank You Thank You Thank you!!! Congrats on another awesome show! 🍾
6/19/2019 18:35,RT @seven11yonce: Whenever someone gets in the car with me and @BrunoMars comes on 😂😂😂 https://t.co/hWzHUVfNzP
6/8/2019 18:59,It sure did didn’t  it? Well... let us pray. https://t.co/gshtf2Nvc7
6/7/2019 17:45,💜 https://t.co/PADzyFCtkq
5/28/2019 18:43,😒 Just checkin. https://t.co/31vlfRkVYn
5/28/2019 17:55,Dipped in silk at the Apollo Theater! Fuck wit me! https://t.co/QnYynLJmbA
5/26/2019 21:50,Happy Birthday @Lennykravitz You’ve accomplished so much and continue to do so. You’ve written Songs that i wish I’… https://t.co/fFtqDmtxNt
5/17/2019 19:36,Cheers Fellas 🥂  Thanks again @BET .  This means the 🌎 https://t.co/cpFS5mrlAo
5/17/2019 18:01,Thank You @BETAwards ❤️
5/16/2019 23:21,HAPPY BIRTHDAY!!!!!  @JanetJackson https://t.co/BhVEabMxXc
5/16/2019 23:17,TBT The Young Legend  @fauntleroy and I workin on the album you know today as 24k Magic! Happy Birthday James! https://t.co/Rvkj31QJ5K
5/13/2019 19:08,Happy Birthday Stevie! https://t.co/SYz4H7Dyzf
5/12/2019 20:52,I promised my mama I’d give her a high school diploma. I didn’t say anything about good grades 😂This was the day I… https://t.co/rkxZLnqNiu
5/8/2019 3:29,Yo @Converse please consider giving @creamebiggums a shoe deal! This Legend deserves his flowers! Been loyal since day 1! and I need a pair🙏
5/7/2019 18:07,If I was in Game of Thrones id be named Sir Silks A lot. 😎 That’s all I got for you today.....Ok bye.
5/7/2019 18:01,Thank u @Zendaya 4 sending me this silky ass Zendaya x Hillfiger shirt.  So clean! Here’s a pic of me doin some ser… https://t.co/5mgP3kVLAM
5/6/2019 19:27,🦄 https://t.co/MzARiLr7om
5/5/2019 22:15,♠️♥️VEGAS♦️♣️ Thank You to everyone that came down to the MGM Park Theater this week and rocked out with the Hoolig… https://t.co/nf4QF3wdng
5/2/2019 17:04,😂 https://t.co/ImYOcL5ieA
5/2/2019 16:58,If you don’t remember it then I didn’t do my job.  We In Real Time! https://t.co/oBpF5g4nA9
5/2/2019 16:56,❤️ I’m tellin y’all! Put the phones away &amp; jam with us/ be apart of the show. Those phones just create a wall! We’v… https://t.co/Od3SWyfXmX
5/2/2019 8:20,Still Bump it! Shout out to @bobatl https://t.co/e6h3N13Efw
5/2/2019 8:20,Still Bump it! Shout out to @bobatl https://t.co/e6h3N13Efw
4/25/2019 0:13,My apologies https://t.co/MUaVXUEPHD
4/25/2019 0:02,RT @AsianMacaron: @BrunoMars Almost Bruno... almost
4/24/2019 23:53,Lizzo been killin! https://t.co/9T8MKsEclS
4/23/2019 19:31,🔥 🎸 https://t.co/7NdOe4gwIv
4/22/2019 3:48,#NewProfilePic https://t.co/XA4g8OwOHP
4/22/2019 3:38,Happy Easter to you and yours!  ❤️
4/22/2019 2:52,When the hoodie you ordered online finally shows up in the mail. #Contender #ChampionMindset #CallMeUFC https://t.co/9zOKm0WkHQ
4/22/2019 2:24,My brother throws an Easter party &amp; busts out the Valentine’s Day paper plates 😒 Thanks for ruining Easter… https://t.co/xQ1hGlo9eZ
4/20/2019 23:29,Saturday! 🥭 🥥 https://t.co/jWsq7JxJsJ
4/20/2019 21:04,YOOOO! 😄Y’all killed it. #ShotForShot #PleaseMe https://t.co/jLz6LPYin3
4/17/2019 10:57,RT @BrunoMars: ❤️ #Hooligans
4/12/2019 22:55,❤️🥂❤️ https://t.co/0OhbpPqUIo
4/12/2019 18:33,❤️ #Hooligans
4/7/2019 2:39,Nailed it! https://t.co/VL91TJEsSm
4/6/2019 17:22,Awesome! https://t.co/1L8C2eQLdL
4/5/2019 18:51,Ayyyyyyyyeee!!!! 🙌 https://t.co/nL227UVx6E
4/1/2019 3:59,R.I.P Nipsey https://t.co/gjMwgkwrMO
